Response_Code,rt,stim_Code,gainVal,lossVal,Response_Type,stim,rt_sec,Accuracy,Accuracy_inTime
0,481.845514299,0,0.5,0.5,Gain  ,Gain  ,0.481845514299,1,0
0,260.01530245,0,0.5,0.5,Gain  ,Gain  ,0.26001530245,1,1
0,240.61099187,0,0.5,0.5,Gain  ,Gain  ,0.24061099187,1,1
0,268.001182629,0,0.5,0.5,Gain  ,Gain  ,0.268001182629,1,1
0,320.263235546,0,0.5,0.5,Gain  ,Gain  ,0.320263235546,1,1
0,390.314234162,0,0.5,0.5,Gain  ,Gain  ,0.390314234162,1,1
0,414.288530197,0,0.5,0.5,Gain  ,Gain  ,0.414288530197,1,0
0,339.090150834,0,0.5,0.5,Gain  ,Gain  ,0.339090150834,1,1
0,273.032589408,0,0.5,0.5,Gain  ,Gain  ,0.273032589408,1,1
0,349.565864098,0,0.5,0.5,Gain  ,Gain  ,0.349565864098,1,1
0,324.950367553,0,0.5,0.5,Gain  ,Gain  ,0.324950367553,1,1
0,321.009070439,0,0.5,0.5,Gain  ,Gain  ,0.321009070439,1,1
0,291.721017874,0,0.5,0.5,Gain  ,Gain  ,0.291721017874,1,1
0,362.48711505,0,0.5,0.5,Gain  ,Gain  ,0.36248711505,1,1
0,335.508187034,0,0.5,0.5,Gain  ,Gain  ,0.335508187034,1,1
0,290.288443666,0,0.5,0.5,Gain  ,Gain  ,0.290288443666,1,1
0,459.212022155,0,0.5,0.5,Gain  ,Gain  ,0.459212022155,1,0
0,322.691325223,0,0.5,0.5,Gain  ,Gain  ,0.322691325223,1,1
0,479.585669084,0,0.5,0.5,Gain  ,Gain  ,0.479585669084,1,0
0,301.396837676,0,0.5,0.5,Gain  ,Gain  ,0.301396837676,1,1
0,332.062942839,0,0.5,0.5,Gain  ,Gain  ,0.332062942839,1,1
0,347.597046985,0,0.5,0.5,Gain  ,Gain  ,0.347597046985,1,1
0,201.163768075,0,0.5,0.5,Gain  ,Gain  ,0.201163768075,1,1
0,265.74929408,0,0.5,0.5,Gain  ,Gain  ,0.26574929408,1,1
0,280.861351082,0,0.5,0.5,Gain  ,Gain  ,0.280861351082,1,1
0,380.328016119,0,0.5,0.5,Gain  ,Gain  ,0.380328016119,1,1
0,283.484510035,0,0.5,0.5,Gain  ,Gain  ,0.283484510035,1,1
0,256.193817375,0,0.5,0.5,Gain  ,Gain  ,0.256193817375,1,1
0,256.354745226,0,0.5,0.5,Gain  ,Gain  ,0.256354745226,1,1
0,384.22500637,0,0.5,0.5,Gain  ,Gain  ,0.38422500637,1,1
0,234.054747456,0,0.5,0.5,Gain  ,Gain  ,0.234054747456,1,1
0,362.087953261,0,0.5,0.5,Gain  ,Gain  ,0.362087953261,1,1
0,295.592702636,0,0.5,0.5,Gain  ,Gain  ,0.295592702636,1,1
0,363.198994778,0,0.5,0.5,Gain  ,Gain  ,0.363198994778,1,1
0,317.1685414,0,0.5,0.5,Gain  ,Gain  ,0.3171685414,1,1
0,254.193037188,0,0.5,0.5,Gain  ,Gain  ,0.254193037188,1,1
0,270.442151525,0,0.5,0.5,Gain  ,Gain  ,0.270442151525,1,1
0,287.613995916,0,0.5,0.5,Gain  ,Gain  ,0.287613995916,1,1
0,260.378230971,0,0.5,0.5,Gain  ,Gain  ,0.260378230971,1,1
0,313.671487728,0,0.5,0.5,Gain  ,Gain  ,0.313671487728,1,1
0,392.960407853,0,0.5,0.5,Gain  ,Gain  ,0.392960407853,1,1
0,316.476399627,0,0.5,0.5,Gain  ,Gain  ,0.316476399627,1,1
0,335.503408911,0,0.5,0.5,Gain  ,Gain  ,0.335503408911,1,1
0,287.821642742,0,0.5,0.5,Gain  ,Gain  ,0.287821642742,1,1
0,300.349105146,0,0.5,0.5,Gain  ,Gain  ,0.300349105146,1,1
0,283.206088821,0,0.5,0.5,Gain  ,Gain  ,0.283206088821,1,1
0,315.449018685,0,0.5,0.5,Gain  ,Gain  ,0.315449018685,1,1
0,341.623924262,0,0.5,0.5,Gain  ,Gain  ,0.341623924262,1,1
0,329.211395559,0,0.5,0.5,Gain  ,Gain  ,0.329211395559,1,1
0,387.90268528,0,0.5,0.5,Gain  ,Gain  ,0.38790268528,1,1
0,347.672764581,0,0.5,0.5,Gain  ,Gain  ,0.347672764581,1,1
0,226.992049968,0,0.5,0.5,Gain  ,Gain  ,0.226992049968,1,1
0,266.348885871,0,0.5,0.5,Gain  ,Gain  ,0.266348885871,1,1
0,261.496567234,0,0.5,0.5,Gain  ,Gain  ,0.261496567234,1,1
0,255.008199583,0,0.5,0.5,Gain  ,Gain  ,0.255008199583,1,1
0,358.915842847,0,0.5,0.5,Gain  ,Gain  ,0.358915842847,1,1
0,428.975709855,0,0.5,0.5,Gain  ,Gain  ,0.428975709855,1,0
0,261.712471911,0,0.5,0.5,Gain  ,Gain  ,0.261712471911,1,1
0,297.201441778,0,0.5,0.5,Gain  ,Gain  ,0.297201441778,1,1
0,333.591696406,0,0.5,0.5,Gain  ,Gain  ,0.333591696406,1,1
0,314.241401028,0,0.5,0.5,Gain  ,Gain  ,0.314241401028,1,1
0,343.481412384,0,0.5,0.5,Gain  ,Gain  ,0.343481412384,1,1
0,430.074651503,0,0.5,0.5,Gain  ,Gain  ,0.430074651503,1,0
0,327.454705183,0,0.5,0.5,Gain  ,Gain  ,0.327454705183,1,1
0,321.544414797,0,0.5,0.5,Gain  ,Gain  ,0.321544414797,1,1
0,476.142470688,0,0.5,0.5,Gain  ,Gain  ,0.476142470688,1,0
0,260.753213962,0,0.5,0.5,Gain  ,Gain  ,0.260753213962,1,1
0,403.570650926,0,0.5,0.5,Gain  ,Gain  ,0.403570650926,1,0
0,256.507658028,0,0.5,0.5,Gain  ,Gain  ,0.256507658028,1,1
0,351.766484802,0,0.5,0.5,Gain  ,Gain  ,0.351766484802,1,1
