subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,57,FO,0.358,0,1,1,0,Cntrl ,0,1,503.5992,503.9572,0.5891166,-2.218133941
12061,1,B,58,FO,0.32,1,1,1,1,Gain  ,0.5,2,507.7192,508.0392,1.038307555,-3.293938413
12061,1,B,59,FO,0.319,-1,1,1,-1,NoLoss,0.5,2,511.2052,511.5242,0.171942062,2.492558098
12061,1,B,60,FO,0.31,0,1,1,0,Cntrl ,0,2,515.2922,515.6022,-0.557255818,-2.085558535
12061,1,B,61,FO,0.289,1,1,1,1,Gain  ,0.5,1,519.3122,519.6012,0.196554208,1.896093219
12061,1,B,62,FO,0.36,0,1,1,0,Cntrl ,0,1,522.9992,523.3592,1.203786368,0.934522025
12061,1,B,63,FO,0.295,-1,1,1,-1,NoLoss,0.5,1,527.3522,527.6472,-0.36419484,-0.713993499
12061,1,B,64,FO,0.378,1,0,0,0,Gain  ,0,2,530.8382,531.2162,1.605830775,4.525264254
12061,1,B,65,FO,0.403,2,0,0,-1,Cntrl ,-1,2,534.4412,534.8442,1.234300595,-1.297862733
12061,1,B,66,FO,0.303,1,1,1,1,Gain  ,0.5,2,538.7622,539.0652,-1.151250234,1.966508998
12061,1,B,67,FO,0.363,-1,1,1,-1,NoLoss,0.5,1,542.8322,543.1952,-1.635383091,0.760152535
12061,1,B,68,FO,0.415,0,1,0,0,Cntrl ,0,1,546.7022,547.1172,0.775529301,0.423808833
12061,1,B,70,FO,0.491,0,1,0,0,Cntrl ,0,2,554.9592,555.4503,0.314605961,-0.112109845
12061,1,B,71,FO,0.433,1,1,0,1,Gain  ,-1,2,559.2292,559.6622,-2.398185367,-0.572348505
12061,1,B,72,FO,0.331,-1,1,1,-1,NoLoss,0.5,2,563.0822,563.4132,1.103435003,0.950533063
12061,1,B,73,FF,0.375,2,0,0,1,Cntrl ,-0.5,1,583.9832,584.3582,1.189946081,-0.561981861
12061,1,B,74,FF,0.397,0,1,1,0,Cntrl ,0,1,588.3532,588.7502,0.309831826,-2.582140979
12061,1,B,75,FF,0.309,-1,1,1,-1,NoLoss,0.5,1,592.4732,592.7822,-0.612757529,0.885816426
12061,1,B,76,FF,0.323,1,1,1,1,Gain  ,0.5,2,596.7602,597.0832,0.002386984,-0.581073481
12061,1,B,77,FF,0.483,-1,1,0,-1,NoLoss,-0.5,2,600.3462,600.8292,-1.541499681,-0.904253682
12061,1,B,78,FF,0.359,0,1,1,0,Cntrl ,0,2,604.2332,604.5922,-0.00027921,-2.257766472
12061,1,B,79,FF,0.384,-1,1,1,-1,NoLoss,0.5,1,608.3202,608.7042,0.36693114,-0.95906048
12061,1,B,80,FF,0.441,0,1,0,0,Cntrl ,0,1,612.6732,613.1142,1.282773665,1.604591198
12061,1,B,81,FF,0.378,1,1,1,1,Gain  ,0.5,1,616.8272,617.2052,-0.659779564,2.688256772
12061,1,B,82,FF,0.353,2,0,0,-1,Cntrl ,-0.5,2,621.0972,621.4503,-1.385916667,-3.026952166
12061,1,B,83,FF,0.343,0,1,1,0,Cntrl ,0,2,624.9172,625.2603,-0.296810093,-1.021589765
