subj_idx,context,GroupCount,mean_FC3,mean_FC1,mean_C3,mean_CP3,mean_P1,mean_P3,mean_P5,mean_Pz,mean_Con1,mean_Con2,mean_Con3
12061,FO,3,-22.71485074,41.05250814,-20.62339687,-18.85530408,44.14615642,57.71428288,84.03223398,36.18403774,-1,1,-1
12061,OF,3,2.297867457,-4.488614082,25.95135276,27.71428405,2.721852938,-2.963978132,26.32843251,0.982622147,1,-1,-1
12061,OO,3,52.45684666,38.84378317,157.1827059,133.3032076,89.33648162,111.1609765,199.5559622,87.15007125,1,1,1
127640,FF,3,-134.7113578,-50.18266996,-94.08724976,-47.57030296,-19.91163127,-23.11476994,-17.8757445,-19.52196503,-1,-1,1
127640,FO,3,67.59878222,37.82077853,47.36701202,41.03331947,25.15356954,27.99915473,32.97275098,17.60580699,-1,1,-1
127640,OF,3,-34.46715143,67.3449103,-49.29432848,-21.38215235,61.02713055,67.73550532,80.60492431,103.8128535,1,-1,-1
127640,OO,3,-4.022339927,16.69172351,-10.8944948,4.774751239,-9.165224711,-13.01830641,-20.21983274,17.52515327,1,1,1
128641,FF,3,11.32573048,1.638204813,17.84285996,12.58282555,11.75925914,10.06858002,12.96000502,13.67649031,-1,-1,1
128641,FO,3,-1.897325357,12.69696101,-10.85718012,-8.880407969,-5.666766405,-6.223981778,-12.1636289,-3.232672532,-1,1,-1
128641,OF,3,1.538115978,7.171720584,0.340170701,4.970916748,2.310659488,1.600805362,14.35051748,11.44741456,1,-1,-1
128641,OO,3,6.437255065,15.90116556,31.89481476,23.70854039,11.5893894,13.15190509,-7.4461778,9.207104524,1,1,1
130651,FF,3,4.902024057,3.704812109,1.572629491,2.306073156,2.160088473,1.710906393,-1.455693702,1.872365673,-1,-1,1
130651,FO,3,3.892589675,2.247531156,1.29287223,3.939513081,4.35470381,4.927742276,1.767203656,-0.170052886,-1,1,-1
130651,OF,3,4.174600389,2.376760542,1.849319259,-0.546881775,-0.329138954,0.943087081,3.650102304,-0.56153659,1,-1,-1
130651,OO,3,1.281668663,-0.34562554,2.364376505,3.420961652,2.310501032,2.144534316,1.724541512,-1.226973891,1,1,1
13071,FF,3,66.60285229,68.43696467,70.68115701,72.74075317,72.75354089,65.89517381,60.45624012,72.36729855,-1,-1,1
13071,FO,3,110.4774505,100.4874967,108.1550848,100.6774953,93.21476322,100.5357683,105.8542962,100.2199597,-1,1,-1
13071,OF,3,77.65026644,63.90486526,65.01659605,66.96714783,62.36900414,66.41482205,68.44064564,58.99765184,1,-1,-1
13071,OO,3,-27.223924,-21.34371821,-36.78093847,-27.45571899,-22.37051137,-20.74688721,-20.44710096,-17.97927856,1,1,1
131660,FF,3,13.83148861,11.43188307,11.27375322,8.834909068,8.194888433,11.07698372,11.7920209,8.678804451,-1,-1,1
131660,FO,3,0.454562823,2.775277456,2.104336898,11.59696733,12.73366165,11.79032956,12.41931862,12.2269809,-1,1,-1
131660,OF,3,32.02203465,30.93342887,30.16987064,30.75999551,29.98309072,29.27513446,29.17711184,28.88357157,1,-1,-1
131660,OO,3,10.07668082,7.859413359,7.737206512,-14.69474204,6.644392014,4.977865802,4.764737553,5.58343829,1,1,1
132661,FF,3,83.05915239,32.31446245,-3.407700857,-9.830393791,-10.70330207,-11.23505211,36.500668,25.10107199,-1,-1,1
132661,FO,3,-9.372703552,30.74203406,58.76406394,31.05015977,31.98049874,29.73697895,-21.93089803,51.48274962,-1,1,-1
132661,OF,3,-3.461385091,-1.916221619,-10.10062281,-3.371991793,16.80773873,22.02020497,29.81249661,16.8431565,1,-1,-1
132661,OO,3,137.3890584,87.3769633,97.87891515,50.94277795,47.72970253,56.87530284,78.18698459,76.79901028,1,1,1
134670,FF,3,9.206400394,11.67006561,12.50066731,15.17879465,18.86336761,15.80258825,14.66800912,18.87009345,-1,-1,1
134670,FO,3,-2.242910862,-0.241908868,0.246484598,-0.861720403,3.858801206,14.46626419,13.70613702,2.868937174,-1,1,-1
134670,OF,3,23.91123788,25.30738317,26.96426418,25.9306808,17.83857844,15.8777683,15.65247822,35.74847878,1,-1,-1
134670,OO,3,14.38451687,29.32001236,-1.496668021,-1.866235733,-2.10621802,18.02349101,-1.582990964,18.17767376,1,1,1
138690,FF,3,16.21659131,37.97996404,15.0001083,23.46765667,79.36732112,10.80128193,3.138271014,92.97581959,-1,-1,1
138690,FO,3,-118.2906253,-59.07679971,-75.41391818,-58.21752357,-22.2417237,-30.01173178,-30.56268724,-12.26275349,-1,1,-1
138690,OF,3,-19.19069884,2.588033146,-13.63354852,-4.672375785,60.59496445,3.176045206,-0.463128938,36.49186802,1,-1,-1
138690,OO,3,14.21410158,11.89663961,6.52700954,6.721008513,16.73726389,11.99513064,8.916930623,17.10736815,1,1,1
139701,FF,3,34.48972225,32.85187901,36.71234057,38.99966462,44.28405518,46.88835716,90.64614995,40.78178861,-1,-1,1
