subj_idx,context,GroupCount,mean_P1,mean_P3,mean_Pz,mean_CPz,mean_CP2,mean_P2,mean_P4,mean_P6,mean_Con1,mean_Con2,mean_Con3
12061,FF,3,33.64957974,40.59162838,-7.261532704,-13.2713143,-30.78160175,-14.61369403,-4.774140278,-1.178929567,-1,-1,1
12061,FO,3,5.443072372,7.970057792,6.51513897,13.17404503,-8.077737437,25.70528979,-6.179090579,-2.622113731,-1,1,-1
12061,OF,3,75.53639438,80.43114407,41.44298074,55.62591224,27.980117,18.01559125,11.87977719,2.069888883,1,-1,-1
12061,OO,3,-18.77310705,-29.08624272,-2.668455362,46.22573015,46.66635614,28.12035555,16.80352759,21.38976969,1,1,1
127640,FF,3,26.08112441,16.8006958,53.67401009,77.19346323,60.91492177,57.19723108,34.33938887,21.6529767,-1,-1,1
127640,FO,3,-75.94702975,-61.73062718,-83.64763602,-70.03466475,-57.27848272,-98.93240547,-57.37839659,-40.9163417,-1,1,-1
127640,OF,3,-27.43746938,-19.70839526,-42.41389521,-77.8366071,-42.86762281,-29.30491956,-6.562114954,-7.515556309,1,-1,-1
127640,OO,3,-63.9870348,-46.15495646,-57.28875629,-62.23086162,-65.892127,-89.8488725,-60.30024648,-36.42515111,1,1,1
128641,FF,3,18.28282636,10.81754287,21.88355894,18.60678522,9.862326483,19.42657948,19.1536845,47.48901041,-1,-1,1
128641,FO,3,-5.84145685,-3.851428827,-4.211723427,2.510590951,34.57669967,-1.02157559,2.711536209,26.85994829,-1,1,-1
128641,OF,3,18.32063446,7.889828523,17.4774195,17.19432028,13.325034,11.99227302,8.473197738,-14.22517514,1,-1,-1
128641,OO,3,18.94960301,-4.894532998,10.76977599,25.72324729,12.4746121,17.28857771,-10.88122141,25.98426165,1,1,1
130651,FF,3,11.29248791,1.436234315,10.61301487,-0.387038701,2.106991602,3.629955411,-1.345528086,0.371238285,-1,-1,1
130651,FO,3,0.770162657,4.998504109,-3.906378955,-3.652410726,-7.883850833,-5.624260227,-9.104029536,-10.47347228,-1,1,-1
130651,OF,3,-8.881983365,12.78987254,-6.078680565,-3.98446599,-2.043692927,-7.349148075,-6.966971914,-4.893273671,1,-1,-1
130651,OO,3,2.389765605,7.968005127,2.662852589,-5.669205884,-3.577439964,-2.485011856,-0.460108399,7.543814871,1,1,1
13071,FF,3,-6.109097083,9.246914746,-20.56801494,-12.77179543,-18.10507647,63.28409984,108.4841377,26.2163789,-1,-1,1
13071,FO,3,-45.27271581,7.274904451,-34.27359724,-38.96681229,-56.4375693,-38.60003201,35.20662207,-0.775745551,-1,1,-1
13071,OF,3,34.54828996,35.29249466,15.19621134,43.45243025,39.69281917,47.47205252,41.54281643,14.83497402,1,-1,-1
13071,OO,3,-14.72662097,28.74120629,-14.4589963,44.70115455,74.25575489,78.05366108,20.10267157,25.91717566,1,1,1
131660,FF,3,16.27396575,19.69873428,20.25912325,31.23273717,21.00540998,26.13221003,23.56436492,45.31127448,-1,-1,1
131660,FO,3,3.185782987,10.33355077,-6.784933488,-1.998786449,-20.28376643,-18.29151833,-19.40471979,-18.76307058,-1,1,-1
131660,OF,3,-32.27691005,-28.36933581,-22.55615369,-17.6536053,6.479648908,-7.63321046,-4.5410345,27.34928232,1,-1,-1
131660,OO,3,-30.82925153,-35.34105237,-31.59010132,3.09185987,-34.28661919,-32.40253333,15.6247058,-4.568885962,1,1,1
132661,FF,3,-6.732609272,-26.03943904,-2.229529222,-24.06477849,3.838272095,14.80560525,16.15952794,39.91980129,-1,-1,1
132661,FO,3,15.87291023,10.16274595,4.939159234,-5.757572651,12.17162577,10.0611798,17.72190078,12.40218544,-1,1,-1
132661,OF,3,58.21947919,62.29645332,50.5952416,5.424618244,-2.452410804,53.0646766,99.26977046,102.8484529,1,-1,-1
132661,OO,3,47.9960333,-1.721495787,2.536632485,-4.142529329,-35.51734543,-16.88380845,-19.25860993,36.60431057,1,1,1
134670,FF,3,9.351518419,22.20396217,2.276735465,7.966133568,-0.048289869,-6.512101279,-10.36995223,50.38125945,-1,-1,1
134670,FO,3,19.38106834,9.173562845,11.38482364,-4.34263693,2.727453616,21.60821713,6.248628272,7.640588244,-1,1,-1
134670,OF,3,12.41824214,17.43584331,21.65048329,1.735050652,6.733339694,15.25653617,13.65596604,20.55103603,1,-1,-1
134670,OO,3,-42.94072723,6.137224038,-41.61573108,-39.151534,-34.21760142,-2.160823928,-44.73217336,-33.7113926,1,1,1
138690,FF,3,60.16800777,29.88260357,65.04529259,85.65199818,101.3112592,78.12193309,67.29664877,31.02834256,-1,-1,1
138690,FO,3,31.10519417,38.72688619,17.92152484,-0.261915465,-2.502063195,12.57358329,9.085464795,60.86387698,-1,1,-1
138690,OF,3,128.5700734,89.46677327,138.1864031,62.69747573,156.2571266,149.8310696,73.33443186,48.04142443,1,-1,-1
138690,OO,3,128.5700734,51.79501144,138.1864031,49.51898418,37.61552278,38.95616923,16.24759939,-43.88690122,1,1,1
139701,FF,3,7.651959737,22.466555,19.13541023,14.11758908,24.13272386,10.65043926,9.560262839,49.63250025,-1,-1,1
139701,FO,3,-51.1732502,-25.63837588,-61.09143202,-65.97004406,-88.13037888,-60.79163901,-57.26438252,-33.92961542,-1,1,-1
139701,OF,3,59.586945,29.6406088,60.89024562,46.89000101,45.68074073,66.8736177,65.48562426,29.79331406,1,-1,-1
