subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,Ave_TF
12061,1,B,61,FO,0.289,1,1,1,1,Gain  ,0.5,1,519.3122,519.6012,-2.92836471185275
12061,1,B,62,FO,0.36,0,1,1,0,Cntrl ,0,1,522.9992,523.3592,-1.88006137753566
12061,1,B,63,FO,0.295,-1,1,1,-1,NoLoss,0.5,1,527.3522,527.6472,4.61687673089475
12061,1,B,64,FO,0.378,1,0,0,0,Gain  ,0,2,530.8382,531.2162,-2.5523076539837
12061,1,B,65,FO,0.403,2,0,0,-1,Cntrl ,-1,2,534.4412,534.8442,-3.53682702850944
12061,1,B,66,FO,0.303,1,1,1,1,Gain  ,0.5,2,538.7622,539.0652,6.05939256338224
12061,1,B,67,FO,0.363,-1,1,1,-1,NoLoss,0.5,1,542.8322,543.1952,-3.28411185687841
12061,1,B,68,FO,0.415,0,1,0,0,Cntrl ,0,1,546.7022,547.1172,2.15061952596359
12061,1,B,70,FO,0.491,0,1,0,0,Cntrl ,0,2,554.9592,555.4503,-8.94672078118682
12061,1,B,71,FO,0.433,1,1,0,1,Gain  ,-1,2,559.2292,559.6622,-2.92772820515587
12061,1,B,72,FO,0.331,-1,1,1,-1,NoLoss,0.5,2,563.0822,563.4132,3.79627638402633
12061,1,B,73,FF,0.375,2,0,0,1,Cntrl ,-0.5,1,583.9832,584.3582,0.277848497030551
12061,1,B,74,FF,0.397,0,1,1,0,Cntrl ,0,1,588.3532,588.7502,-3.90067894271661
12061,1,B,75,FF,0.309,-1,1,1,-1,NoLoss,0.5,1,592.4732,592.7822,4.35677457456232
12061,1,B,76,FF,0.323,1,1,1,1,Gain  ,0.5,2,596.7602,597.0832,5.64182160978329
12061,1,B,77,FF,0.483,-1,1,0,-1,NoLoss,-0.5,2,600.3462,600.8292,0.418036076255043
12061,1,B,78,FF,0.359,0,1,1,0,Cntrl ,0,2,604.2332,604.5922,3.68773593348914
12061,1,B,79,FF,0.384,-1,1,1,-1,NoLoss,0.5,1,608.3202,608.7042,-1.64143532913057
12061,1,B,80,FF,0.441,0,1,0,0,Cntrl ,0,1,612.6732,613.1142,-1.91460387831066
12061,1,B,81,FF,0.378,1,1,1,1,Gain  ,0.5,1,616.8272,617.2052,1.06963430784723
12061,1,B,82,FF,0.353,2,0,0,-1,Cntrl ,-0.5,2,621.0972,621.4503,-1.85757909711568
12061,1,B,83,FF,0.343,0,1,1,0,Cntrl ,0,2,624.9172,625.2603,-7.82839132868435
12061,1,B,85,FF,0.402,0,1,0,0,Cntrl ,0,1,633.2742,633.6762,-1.96617191323725
12061,1,B,86,FF,0.332,-1,1,1,-1,NoLoss,0.5,1,637.4442,637.7762,-1.02579593000188
12061,1,B,87,FF,0.389,1,1,1,1,Gain  ,0.5,1,640.8802,641.2692,3.51487373936727
12061,1,B,88,FF,0.415,-1,1,0,-1,NoLoss,-0.5,2,645.0332,645.4482,-5.89157073110415
12061,1,B,89,FF,0.457,1,0,0,0,Gain  ,0,2,648.5532,649.0102,2.33201159974709
12061,1,B,90,FF,0.257,1,1,1,1,Gain  ,0.5,2,652.9572,653.2142,2.44955165309707
12061,1,B,91,FF,0.461,-1,1,0,-1,NoLoss,-0.5,1,656.3932,656.8542,-2.12068731212075
12061,1,B,92,FF,0.302,1,1,1,1,Gain  ,0.5,1,660.1132,660.4152,1.16402086468673
12061,1,B,93,FF,0.385,0,1,1,0,Cntrl ,0,1,663.4652,663.8502,-1.15034971354119
12061,1,B,94,FF,0.317,-1,1,1,-1,NoLoss,0.5,2,667.6192,667.9362,-0.185225663362425
12061,1,B,95,FF,0.352,1,1,1,1,Gain  ,0.5,2,671.8562,672.2082,2.15766992912814
12061,1,B,96,FF,0.293,0,1,1,0,Cntrl ,0,2,676.0432,676.3362,-0.419338777512664
12061,1,B,97,FF,0.378,1,1,1,1,Gain  ,0.5,1,680.1792,680.5572,3.89502608163059
12061,1,B,98,FF,0.369,0,1,1,0,Cntrl ,0,1,683.7322,684.1013,-9.35155302103637
12061,1,B,99,FF,0.287,-1,1,1,-1,NoLoss,0.5,1,688.0862,688.3732,6.07940385718326
12061,1,B,100,FF,0.416,0,1,0,0,Cntrl ,0,2,691.5892,692.0052,1.62337152960429
12061,1,B,101,FF,0.338,1,1,1,1,Gain  ,0.5,2,695.3422,695.6802,5.60090735278787
12061,1,B,102,FF,0.432,-1,1,0,-1,NoLoss,-0.5,2,699.1622,699.5942,5.57403526239412
12061,1,B,103,FF,0.38,1,1,1,1,Gain  ,0.5,1,703.0652,703.4452,0.21720345989508
12061,1,B,104,FF,0.369,0,1,1,0,Cntrl ,0,1,707.4692,707.8383,-7.55002224890396
12061,1,B,105,FF,0.342,-1,1,1,-1,NoLoss,0.5,1,710.9222,711.2642,-1.26582560632195
12061,1,B,106,FF,0.294,1,1,1,1,Gain  ,0.5,2,714.3082,714.6022,-4.68500409487579
12061,1,B,107,FF,0.373,0,1,1,0,Cntrl ,0,2,718.2782,718.6512,-5.86099189678983
12061,1,B,108,FF,0.33,-1,1,1,-1,NoLoss,0.5,2,721.7472,722.0772,-0.105423634568291
12061,1,B,110,OF,0.362,1,1,1,1,Gain  ,1,1,743.2652,743.6272,6.42093797868945
12061,1,B,111,OF,0.31,0,1,1,0,Cntrl ,0,1,747.1182,747.4282,-2.92258098824485
12061,1,B,112,OF,0.32,-1,1,1,-1,NoLoss,1,2,751.0382,751.3582,5.1238626290715
12061,1,B,113,OF,0.482,0,1,0,0,Cntrl ,0,2,754.5912,755.0732,1.46335915294481
12061,1,B,114,OF,0.317,1,1,1,1,Gain  ,1,2,758.8782,759.1953,-0.309855279182112
12061,1,B,115,OF,0.322,-1,0,0,0,NoLoss,0,1,762.6812,763.0032,10.7901747711659
12061,1,B,116,OF,0.38,2,0,0,1,Cntrl ,-0.5,1,766.2012,766.5812,-1.74084068966857
12061,1,B,117,OF,0.264,-1,1,1,-1,NoLoss,1,1,770.5882,770.8522,-4.17597601881006
12061,1,B,118,OF,0.348,0,1,1,0,Cntrl ,0,2,774.1242,774.4722,4.16767081084735
12061,1,B,119,OF,0.24,1,1,1,1,Gain  ,1,2,777.8442,778.0842,-1.38881461483613
12061,1,B,120,OF,0.275,-1,1,1,-1,NoLoss,1,2,781.2472,781.5222,-0.454426180970754
12061,1,B,121,OF,0.316,0,1,1,0,Cntrl ,0,1,784.7332,785.0492,-0.436747027876824
12061,1,B,122,OF,0.263,1,1,1,1,Gain  ,1,1,788.5032,788.7662,-3.29666107422368
12061,1,B,123,OF,0.37,2,0,0,-1,Cntrl ,-0.5,1,791.8892,792.2592,0.364598436505338
12061,1,B,124,OF,0.422,0,1,0,0,Cntrl ,0,2,796.1262,796.5482,0.783728199555273
