subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,56,FO,0.321,-1,1,1,-1,NoLoss,0.5,1,499.5792,499.9002,-6.587678545,-4.736566759
12061,1,B,57,FO,0.358,0,1,1,0,Cntrl ,0,1,503.5992,503.9572,2.387496883,1.030742174
12061,1,B,58,FO,0.32,1,1,1,1,Gain  ,0.5,2,507.7192,508.0392,1.490521114,-6.086296522
12061,1,B,59,FO,0.319,-1,1,1,-1,NoLoss,0.5,2,511.2052,511.5242,-3.006551697,-2.992630938
12061,1,B,60,FO,0.31,0,1,1,0,Cntrl ,0,2,515.2922,515.6022,-0.789705455,1.411606967
12061,1,B,61,FO,0.289,1,1,1,1,Gain  ,0.5,1,519.3122,519.6012,0.934334459,-0.074199746
12061,1,B,62,FO,0.36,0,1,1,0,Cntrl ,0,1,522.9992,523.3592,-3.752744076,1.698485581
12061,1,B,63,FO,0.295,-1,1,1,-1,NoLoss,0.5,1,527.3522,527.6472,-2.371869756,1.812605937
12061,1,B,64,FO,0.378,1,0,0,0,Gain  ,0,2,530.8382,531.2162,3.896297308,3.280912198
12061,1,B,65,FO,0.403,2,0,0,-1,Cntrl ,-1,2,534.4412,534.8442,-2.057353618,-5.03348234
12061,1,B,66,FO,0.303,1,1,1,1,Gain  ,0.5,2,538.7622,539.0652,-2.414226242,-5.443846489
12061,1,B,67,FO,0.363,-1,1,1,-1,NoLoss,0.5,1,542.8322,543.1952,-4.824020012,-8.532494857
12061,1,B,68,FO,0.415,0,1,0,0,Cntrl ,0,1,546.7022,547.1172,0.429879519,3.388532148
12061,1,B,70,FO,0.491,0,1,0,0,Cntrl ,0,2,554.9592,555.4503,4.960604783,1.408726308
12061,1,B,71,FO,0.433,1,1,0,1,Gain  ,-1,2,559.2292,559.6622,1.844642519,5.043083806
12061,1,B,72,FO,0.331,-1,1,1,-1,NoLoss,0.5,2,563.0822,563.4132,1.239266292,0.442326092
12061,1,B,73,FF,0.375,2,0,0,1,Cntrl ,-0.5,1,583.9832,584.3582,-1.7975232,-3.312875036
12061,1,B,74,FF,0.397,0,1,1,0,Cntrl ,0,1,588.3532,588.7502,5.94239026,2.314781729
12061,1,B,75,FF,0.309,-1,1,1,-1,NoLoss,0.5,1,592.4732,592.7822,-1.738200213,-0.585375196
12061,1,B,76,FF,0.323,1,1,1,1,Gain  ,0.5,2,596.7602,597.0832,-4.148056638,-2.367123841
12061,1,B,77,FF,0.483,-1,1,0,-1,NoLoss,-0.5,2,600.3462,600.8292,-0.362275415,1.581453633
12061,1,B,78,FF,0.359,0,1,1,0,Cntrl ,0,2,604.2332,604.5922,9.030157182,9.279645752
12061,1,B,79,FF,0.384,-1,1,1,-1,NoLoss,0.5,1,608.3202,608.7042,0.827778342,2.140492522
12061,1,B,80,FF,0.441,0,1,0,0,Cntrl ,0,1,612.6732,613.1142,2.586826017,5.052003877
12061,1,B,81,FF,0.378,1,1,1,1,Gain  ,0.5,1,616.8272,617.2052,3.842775402,-0.339822722
12061,1,B,82,FF,0.353,2,0,0,-1,Cntrl ,-0.5,2,621.0972,621.4503,-2.858394677,-1.118161055
12061,1,B,83,FF,0.343,0,1,1,0,Cntrl ,0,2,624.9172,625.2603,-2.263706328,-1.338551797
12061,1,B,85,FF,0.402,0,1,0,0,Cntrl ,0,1,633.2742,633.6762,0.752904768,0.657302998
12061,1,B,86,FF,0.332,-1,1,1,-1,NoLoss,0.5,1,637.4442,637.7762,2.477391102,2.545906784
12061,1,B,87,FF,0.389,1,1,1,1,Gain  ,0.5,1,640.8802,641.2692,-2.31991517,-3.801353237
12061,1,B,88,FF,0.415,-1,1,0,-1,NoLoss,-0.5,2,645.0332,645.4482,0.269813214,1.80609972
12061,1,B,89,FF,0.457,1,0,0,0,Gain  ,0,2,648.5532,649.0102,2.473611612,-0.779093162
12061,1,B,90,FF,0.257,1,1,1,1,Gain  ,0.5,2,652.9572,653.2142,5.051438402,1.021881244
12061,1,B,91,FF,0.461,-1,1,0,-1,NoLoss,-0.5,1,656.3932,656.8542,-4.143740093,-3.947414929
12061,1,B,92,FF,0.302,1,1,1,1,Gain  ,0.5,1,660.1132,660.4152,-1.760329435,-0.85286434
12061,1,B,93,FF,0.385,0,1,1,0,Cntrl ,0,1,663.4652,663.8502,-3.047648963,5.626722712
12061,1,B,94,FF,0.317,-1,1,1,-1,NoLoss,0.5,2,667.6192,667.9362,3.937246596,3.160749771
12061,1,B,95,FF,0.352,1,1,1,1,Gain  ,0.5,2,671.8562,672.2082,5.171594061,5.055931442
12061,1,B,96,FF,0.293,0,1,1,0,Cntrl ,0,2,676.0432,676.3362,1.507375215,-1.640234565
12061,1,B,97,FF,0.378,1,1,1,1,Gain  ,0.5,1,680.1792,680.5572,-0.116046564,1.043808764
12061,1,B,98,FF,0.369,0,1,1,0,Cntrl ,0,1,683.7322,684.1013,5.744349514,4.162073989
12061,1,B,99,FF,0.287,-1,1,1,-1,NoLoss,0.5,1,688.0862,688.3732,3.227885485,3.10199011
12061,1,B,100,FF,0.416,0,1,0,0,Cntrl ,0,2,691.5892,692.0052,-0.211650916,6.800029815
12061,1,B,101,FF,0.338,1,1,1,1,Gain  ,0.5,2,695.3422,695.6802,1.252867444,-3.570631761
12061,1,B,102,FF,0.432,-1,1,0,-1,NoLoss,-0.5,2,699.1622,699.5942,3.983211282,1.272278813
12061,1,B,103,FF,0.38,1,1,1,1,Gain  ,0.5,1,703.0652,703.4452,-0.225466814,-1.269884836
12061,1,B,104,FF,0.369,0,1,1,0,Cntrl ,0,1,707.4692,707.8383,-4.397377745,-3.254254538
12061,1,B,105,FF,0.342,-1,1,1,-1,NoLoss,0.5,1,710.9222,711.2642,-0.435827861,-1.245070755
12061,1,B,106,FF,0.294,1,1,1,1,Gain  ,0.5,2,714.3082,714.6022,5.321907996,1.307738525
12061,1,B,107,FF,0.373,0,1,1,0,Cntrl ,0,2,718.2782,718.6512,1.882363771,-0.083173727
12061,1,B,108,FF,0.33,-1,1,1,-1,NoLoss,0.5,2,721.7472,722.0772,-5.454992639,-4.13374892
12061,1,B,110,OF,0.362,1,1,1,1,Gain  ,1,1,743.2652,743.6272,-2.846062974,-1.515238611
12061,1,B,111,OF,0.31,0,1,1,0,Cntrl ,0,1,747.1182,747.4282,-4.989773277,-7.577658773
12061,1,B,112,OF,0.32,-1,1,1,-1,NoLoss,1,2,751.0382,751.3582,-3.842063661,-1.681262544
12061,1,B,113,OF,0.482,0,1,0,0,Cntrl ,0,2,754.5912,755.0732,-3.410355613,-4.54150484
12061,1,B,114,OF,0.317,1,1,1,1,Gain  ,1,2,758.8782,759.1953,-1.177196302,-1.693192714
12061,1,B,115,OF,0.322,-1,0,0,0,NoLoss,0,1,762.6812,763.0032,4.086023535,0.387511924
12061,1,B,116,OF,0.38,2,0,0,1,Cntrl ,-0.5,1,766.2012,766.5812,-3.98504615,-1.342983612
12061,1,B,117,OF,0.264,-1,1,1,-1,NoLoss,1,1,770.5882,770.8522,1.0784527,3.248608324
12061,1,B,118,OF,0.348,0,1,1,0,Cntrl ,0,2,774.1242,774.4722,1.370460061,0.884951406
12061,1,B,119,OF,0.24,1,1,1,1,Gain  ,1,2,777.8442,778.0842,0.120333452,4.068868724
12061,1,B,120,OF,0.275,-1,1,1,-1,NoLoss,1,2,781.2472,781.5222,4.535765455,5.814802874
12061,1,B,121,OF,0.316,0,1,1,0,Cntrl ,0,1,784.7332,785.0492,-1.951750617,-1.341612825
12061,1,B,122,OF,0.263,1,1,1,1,Gain  ,1,1,788.5032,788.7662,3.479134591,5.271199398
12061,1,B,123,OF,0.37,2,0,0,-1,Cntrl ,-0.5,1,791.8892,792.2592,-6.496091267,-2.275456928
12061,1,B,124,OF,0.422,0,1,0,0,Cntrl ,0,2,796.1262,796.5482,1.571962579,-0.896769422
12061,1,B,125,OF,0.274,1,1,1,1,Gain  ,1,2,799.6622,799.9362,0.636576924,-1.85823524
12061,1,B,126,OF,0.278,-1,1,1,-1,NoLoss,1,2,803.7322,804.0103,4.292433516,2.058910521
12061,1,B,128,OF,0.344,-1,1,1,-1,NoLoss,1,1,810.8212,811.1652,2.327606224,-0.664201229
12061,1,B,129,OF,0.265,1,1,1,1,Gain  ,1,1,814.6252,814.8903,-7.886328545,-2.829804741
12061,1,B,130,OF,0.378,2,0,0,-1,Cntrl ,-0.5,2,818.5442,818.9222,-3.743624566,0.863504952
12061,1,B,131,OF,0.303,1,1,1,1,Gain  ,1,2,822.5982,822.9012,-5.719915317,-5.035519945
12061,1,B,133,OF,0.399,-1,1,1,-1,NoLoss,1,1,830.9882,831.3872,0.620208188,-2.636290549
12061,1,B,134,OF,0.405,1,1,0,1,Gain  ,-0.5,1,834.7752,835.1802,1.752821534,-0.301141548
12061,1,B,135,OF,0.482,-1,0,0,0,NoLoss,0,1,839.2122,839.6942,1.711277204,-1.842483361
12061,1,B,136,OF,0.493,1,1,0,1,Gain  ,-0.5,2,842.8982,843.3912,3.476932792,1.680595946
12061,1,B,138,OF,0.306,-1,1,1,-1,NoLoss,1,2,850.4712,850.7772,-2.10625789,0.643444921
12061,1,B,139,OF,0.403,0,1,0,0,Cntrl ,0,1,854.7252,855.1282,-1.880203242,3.420880994
