subj_idx,context,GroupCount,mean_F1,mean_AF8,mean_AF4,mean_F2,mean_F4,mean_F6,mean_F8,mean_FC2,mean_FCz,mean_Con1,mean_Con2,mean_Con3
19101,OF,3,7.267921978,2.314556122,15.34894382,18.9728561,19.87526973,20.21237061,9.394032584,19.52643765,18.46946997,1,-1,-1
19101,OO,3,74.87223381,-9.145331065,3.585092651,78.72820261,68.00245269,6.654539797,-1.462726805,71.71678617,65.76317061,1,1,1
20100,FF,3,1.697687109,0.183361848,-10.53034465,-20.73523327,-16.20239381,5.582888113,8.988211181,2.483526091,-0.332712577,-1,-1,1
20100,FO,3,-2.448157112,-3.978142579,-4.075912793,-6.48513329,-5.308012446,-3.826990008,-1.588827054,-3.884925306,-2.246888419,-1,1,-1
20100,OF,3,-4.655893445,8.537779861,-6.821086884,-12.84525724,-8.012616913,13.85855883,7.450503164,-4.265318652,-1.48301055,1,-1,-1
20100,OO,3,11.58878068,5.846911483,5.142876201,10.07204126,5.24659227,5.766379502,3.475211276,12.11572538,17.0618441,1,1,1
22110,FF,3,4.125259757,7.267482228,20.0246982,15.84319448,12.92069875,72.5301005,71.33494099,11.87605045,10.08022589,-1,-1,1
22110,FO,3,-16.53813891,-19.8755827,-14.83971167,-17.06339788,-5.120350043,-12.37672551,67.07751425,-5.910080194,-8.442542235,-1,1,-1
22110,OF,3,-2.421873212,-9.8528791,-9.868660132,-7.387093067,14.00349548,-24.88747406,-12.60430408,20.19256197,18.912729,1,-1,-1
22110,OO,3,-15.14560084,-34.56470394,-13.81377045,-0.756695271,37.14830404,46.54097578,0.09993275,24.19912834,19.64798329,1,1,1
23121,FF,3,8.908549673,10.00065361,12.08138038,12.55543366,10.91889575,11.67620831,5.516557746,16.12344094,15.0173923,-1,-1,1
23121,FO,3,21.43804364,23.27249397,23.38798824,22.97328719,22.54955479,26.07532901,3.651000394,12.33613511,-2.685370644,-1,1,-1
23121,OF,3,5.191956884,-4.175945838,-9.228618741,6.260960162,1.92084386,15.96201179,-3.343683402,23.4115752,19.17404539,1,-1,-1
23121,OO,3,12.96927965,10.53709483,15.7812133,13.06931153,13.50628411,16.17757143,8.670363797,13.82436105,12.97763044,1,1,1
24120,FF,3,6.307988299,0.190471755,-1.599502007,5.307589663,6.010300159,-3.22926222,-40.75076882,11.40362369,64.55371457,-1,-1,1
