subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,57,FO,0.358,0,1,1,0,Cntrl ,0,1,503.5992,503.9572,-3.117818801,1.71770569
12061,1,B,58,FO,0.32,1,1,1,1,Gain  ,0.5,2,507.7192,508.0392,-5.25205801,-3.51247161
12061,1,B,59,FO,0.319,-1,1,1,-1,NoLoss,0.5,2,511.2052,511.5242,-1.192818629,0.758318346
12061,1,B,60,FO,0.31,0,1,1,0,Cntrl ,0,2,515.2922,515.6022,6.490673051,3.467073057
12061,1,B,61,FO,0.289,1,1,1,1,Gain  ,0.5,1,519.3122,519.6012,0.052824458,-0.171797441
12061,1,B,62,FO,0.36,0,1,1,0,Cntrl ,0,1,522.9992,523.3592,-0.446107404,-0.906510483
12061,1,B,63,FO,0.295,-1,1,1,-1,NoLoss,0.5,1,527.3522,527.6472,-2.031438174,-3.389740357
12061,1,B,64,FO,0.378,1,0,0,0,Gain  ,0,2,530.8382,531.2162,3.823649193,1.486988784
12061,1,B,65,FO,0.403,2,0,0,-1,Cntrl ,-1,2,534.4412,534.8442,-0.568334036,-5.142959537
12061,1,B,66,FO,0.303,1,1,1,1,Gain  ,0.5,2,538.7622,539.0652,-2.87597026,0.867375882
12061,1,B,67,FO,0.363,-1,1,1,-1,NoLoss,0.5,1,542.8322,543.1952,3.860669634,-0.931717579
12061,1,B,68,FO,0.415,0,1,0,0,Cntrl ,0,1,546.7022,547.1172,2.063010453,-5.091344092
12061,1,B,70,FO,0.491,0,1,0,0,Cntrl ,0,2,554.9592,555.4503,5.127090889,3.887342365
12061,1,B,71,FO,0.433,1,1,0,1,Gain  ,-1,2,559.2292,559.6622,0.424451891,2.698906096
12061,1,B,72,FO,0.331,-1,1,1,-1,NoLoss,0.5,2,563.0822,563.4132,0.948735511,3.059912477
12061,1,B,73,FF,0.375,2,0,0,1,Cntrl ,-0.5,1,583.9832,584.3582,-1.927794924,1.255779208
12061,1,B,74,FF,0.397,0,1,1,0,Cntrl ,0,1,588.3532,588.7502,1.302728611,1.333147521
12061,1,B,75,FF,0.309,-1,1,1,-1,NoLoss,0.5,1,592.4732,592.7822,3.784857465,-1.421313633
12061,1,B,76,FF,0.323,1,1,1,1,Gain  ,0.5,2,596.7602,597.0832,-8.684857052,0.43165189
12061,1,B,77,FF,0.483,-1,1,0,-1,NoLoss,-0.5,2,600.3462,600.8292,2.947852321,1.789991079
12061,1,B,78,FF,0.359,0,1,1,0,Cntrl ,0,2,604.2332,604.5922,-3.843857298,1.882420206
12061,1,B,79,FF,0.384,-1,1,1,-1,NoLoss,0.5,1,608.3202,608.7042,-0.811750979,0.381224256
12061,1,B,80,FF,0.441,0,1,0,0,Cntrl ,0,1,612.6732,613.1142,5.576172458,2.241343458
12061,1,B,81,FF,0.378,1,1,1,1,Gain  ,0.5,1,616.8272,617.2052,3.602047945,-3.447857875
12061,1,B,82,FF,0.353,2,0,0,-1,Cntrl ,-0.5,2,621.0972,621.4503,-2.067709899,-2.655696994
12061,1,B,83,FF,0.343,0,1,1,0,Cntrl ,0,2,624.9172,625.2603,4.217904754,-0.793664927
12061,1,B,85,FF,0.402,0,1,0,0,Cntrl ,0,1,633.2742,633.6762,-5.636176743,-5.293971737
12061,1,B,86,FF,0.332,-1,1,1,-1,NoLoss,0.5,1,637.4442,637.7762,-0.316397513,-4.898406058
12061,1,B,87,FF,0.389,1,1,1,1,Gain  ,0.5,1,640.8802,641.2692,-0.4040197,-3.581772676
12061,1,B,88,FF,0.415,-1,1,0,-1,NoLoss,-0.5,2,645.0332,645.4482,-1.891597723,-2.829435626
12061,1,B,89,FF,0.457,1,0,0,0,Gain  ,0,2,648.5532,649.0102,-7.040065394,-3.573396217
12061,1,B,90,FF,0.257,1,1,1,1,Gain  ,0.5,2,652.9572,653.2142,0.419020338,1.928218286
12061,1,B,91,FF,0.461,-1,1,0,-1,NoLoss,-0.5,1,656.3932,656.8542,-0.27802983,-0.970294264
12061,1,B,92,FF,0.302,1,1,1,1,Gain  ,0.5,1,660.1132,660.4152,-0.497345414,1.3640071
12061,1,B,93,FF,0.385,0,1,1,0,Cntrl ,0,1,663.4652,663.8502,-3.10561712,-2.293161402
12061,1,B,94,FF,0.317,-1,1,1,-1,NoLoss,0.5,2,667.6192,667.9362,-0.73882657,-0.782778355
12061,1,B,95,FF,0.352,1,1,1,1,Gain  ,0.5,2,671.8562,672.2082,4.404594224,5.070520679
12061,1,B,96,FF,0.293,0,1,1,0,Cntrl ,0,2,676.0432,676.3362,0.259148324,-1.282660118
12061,1,B,97,FF,0.378,1,1,1,1,Gain  ,0.5,1,680.1792,680.5572,5.943920778,3.133750433
12061,1,B,98,FF,0.369,0,1,1,0,Cntrl ,0,1,683.7322,684.1013,4.144843241,-1.180731989
12061,1,B,99,FF,0.287,-1,1,1,-1,NoLoss,0.5,1,688.0862,688.3732,-4.629528135,3.573512103
12061,1,B,100,FF,0.416,0,1,0,0,Cntrl ,0,2,691.5892,692.0052,1.290421559,4.09252367
12061,1,B,101,FF,0.338,1,1,1,1,Gain  ,0.5,2,695.3422,695.6802,-0.084143472,0.488412342
12061,1,B,102,FF,0.432,-1,1,0,-1,NoLoss,-0.5,2,699.1622,699.5942,4.206658147,0.632272794
12061,1,B,103,FF,0.38,1,1,1,1,Gain  ,0.5,1,703.0652,703.4452,-4.86556853,-6.981953497
12061,1,B,104,FF,0.369,0,1,1,0,Cntrl ,0,1,707.4692,707.8383,1.023000659,0.804228863
12061,1,B,105,FF,0.342,-1,1,1,-1,NoLoss,0.5,1,710.9222,711.2642,-0.098939891,1.598068735
