subj_idx,Trial,Response_Counterbalanced,CorrectResponse_Counterbalanced,rt,rt_sec,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount
1011,82,1,1,422,0.422,1,0,Gain  ,Gain  ,1
1011,83,2,2,492,0.492,1,0,Cntrl ,Cntrl ,1
1011,84,3,3,430,0.43,1,0,NoLoss,NoLoss,1
1011,85,1,1,329,0.329,1,1,Gain  ,Gain  ,1
1011,86,2,2,306,0.306,1,1,Cntrl ,Cntrl ,1
1011,87,3,3,450,0.45,1,0,NoLoss,NoLoss,1
1011,88,2,2,481,0.481,1,0,Cntrl ,Cntrl ,1
1011,89,1,1,312,0.312,1,1,Gain  ,Gain  ,1
1011,90,3,3,387,0.387,1,1,NoLoss,NoLoss,1
1011,91,2,2,329,0.329,1,1,Cntrl ,Cntrl ,1
1011,92,1,1,380,0.38,1,1,Gain  ,Gain  ,1
1011,93,2,3,435,0.435,0,0,NoLoss,Cntrl ,1
1011,94,1,1,381,0.381,1,1,Gain  ,Gain  ,1
1011,95,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,96,3,3,394,0.394,1,1,NoLoss,NoLoss,1
1011,97,1,1,363,0.363,1,1,Gain  ,Gain  ,1
1011,98,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,99,2,2,283,0.283,1,1,Cntrl ,Cntrl ,1
1011,100,1,1,407,0.407,1,0,Gain  ,Gain  ,1
1011,101,1,2,387,0.387,0,0,Cntrl ,Gain  ,1
1011,102,3,3,372,0.372,1,1,NoLoss,NoLoss,1
1011,103,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,104,3,3,362,0.362,1,1,NoLoss,NoLoss,1
1011,105,2,2,340,0.34,1,1,Cntrl ,Cntrl ,1
1011,106,1,3,380,0.38,0,0,NoLoss,Gain  ,1
1011,107,2,2,350,0.35,1,1,Cntrl ,Cntrl ,1
1011,108,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,109,2,2,497,0.497,1,0,Cntrl ,Cntrl ,1
1011,110,3,3,371,0.371,1,1,NoLoss,NoLoss,1
1011,111,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,112,3,3,375,0.375,1,1,NoLoss,NoLoss,1
1011,113,2,2,350,0.35,1,1,Cntrl ,Cntrl ,1
1011,114,1,1,359,0.359,1,1,Gain  ,Gain  ,1
1011,115,3,3,377,0.377,1,1,NoLoss,NoLoss,1
1011,116,2,1,404,0.404,0,0,Gain  ,Cntrl ,1
1011,117,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,118,2,3,318,0.318,0,0,NoLoss,Cntrl ,1
1011,119,2,2,403,0.403,1,0,Cntrl ,Cntrl ,1
1011,120,1,1,428,0.428,1,0,Gain  ,Gain  ,1
1011,121,2,2,325,0.325,1,1,Cntrl ,Cntrl ,1
1011,122,3,3,334,0.334,1,1,NoLoss,NoLoss,1
1011,123,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,124,2,2,414,0.414,1,0,Cntrl ,Cntrl ,1
1011,125,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,126,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,127,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,128,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,129,1,1,268,0.268,1,1,Gain  ,Gain  ,1
1011,130,3,3,360,0.36,1,1,NoLoss,NoLoss,1
1011,131,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,132,1,1,396,0.396,1,1,Gain  ,Gain  ,1
1011,133,3,3,211,0.211,1,1,NoLoss,NoLoss,1
1011,134,1,1,398,0.398,1,1,Gain  ,Gain  ,1
1011,135,2,2,298,0.298,1,1,Cntrl ,Cntrl ,1
1011,136,3,3,273,0.273,1,1,NoLoss,NoLoss,1
1011,137,2,2,328,0.328,1,1,Cntrl ,Cntrl ,1
1011,138,1,1,263,0.263,1,1,Gain  ,Gain  ,1
1011,139,2,3,407,0.407,0,0,NoLoss,Cntrl ,1
1011,140,2,2,347,0.347,1,1,Cntrl ,Cntrl ,1
1011,141,1,1,401,0.401,1,0,Gain  ,Gain  ,1
1011,142,1,3,365,0.365,0,0,NoLoss,Gain  ,1
1011,143,2,1,377,0.377,0,0,Gain  ,Cntrl ,1
1011,144,1,2,375,0.375,0,0,Cntrl ,Gain  ,1
1011,145,1,1,400,0.4,1,0,Gain  ,Gain  ,1
1011,146,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,147,3,3,272,0.272,1,1,NoLoss,NoLoss,1
1011,148,2,2,347,0.347,1,1,Cntrl ,Cntrl ,1
1011,149,1,1,292,0.292,1,1,Gain  ,Gain  ,1
1011,150,3,3,300,0.3,1,1,NoLoss,NoLoss,1
1011,151,2,1,298,0.298,0,0,Gain  ,Cntrl ,1
1011,152,2,2,438,0.438,1,0,Cntrl ,Cntrl ,1
1011,153,3,3,263,0.263,1,1,NoLoss,NoLoss,1
1011,154,2,2,427,0.427,1,0,Cntrl ,Cntrl ,1
1011,155,1,1,266,0.266,1,1,Gain  ,Gain  ,1
1011,156,3,3,214,0.214,1,1,NoLoss,NoLoss,1
1011,157,2,2,248,0.248,1,1,Cntrl ,Cntrl ,1
1011,158,1,1,369,0.369,1,1,Gain  ,Gain  ,1
1011,159,3,3,325,0.325,1,1,NoLoss,NoLoss,1
1011,160,2,2,192,0.192,1,1,Cntrl ,Cntrl ,1
1011,161,1,1,192,0.192,1,1,Gain  ,Gain  ,1
1011,162,3,3,45,0.045,1,1,NoLoss,NoLoss,1
