Response_Code,rt,stim_Code,gainVal,lossVal,Response_Type,stim,Money_Amount,rt_sec,Accuracy,Accuracy_inTime
0,307.132066552,0,0.5,0.5,Gain  ,Gain  ,0.5,0.307132066552,1,1
0,316.598342987,0,0.5,0.5,Gain  ,Gain  ,0.5,0.316598342987,1,1
0,256.229579486,0,0.5,0.5,Gain  ,Gain  ,0.5,0.256229579486,1,1
0,327.462661853,0,0.5,0.5,Gain  ,Gain  ,0.5,0.327462661853,1,1
0,364.788186209,0,0.5,0.5,Gain  ,Gain  ,0.5,0.364788186209,1,1
0,261.888651661,0,0.5,0.5,Gain  ,Gain  ,0.5,0.261888651661,1,1
0,319.014869288,0,0.5,0.5,Gain  ,Gain  ,0.5,0.319014869288,1,1
0,234.003306969,0,0.5,0.5,Gain  ,Gain  ,0.5,0.234003306969,1,1
0,277.748364031,0,0.5,0.5,Gain  ,Gain  ,0.5,0.277748364031,1,1
0,303.758696838,0,0.5,0.5,Gain  ,Gain  ,0.5,0.303758696838,1,1
0,259.790203494,0,0.5,0.5,Gain  ,Gain  ,0.5,0.259790203494,1,1
0,451.280045569,0,0.5,0.5,Gain  ,Gain  ,0.5,0.451280045569,1,0
0,227.425199006,0,0.5,0.5,Gain  ,Gain  ,0.5,0.227425199006,1,1
0,314.433279966,0,0.5,0.5,Gain  ,Gain  ,0.5,0.314433279966,1,1
0,302.567456367,0,0.5,0.5,Gain  ,Gain  ,0.5,0.302567456367,1,1
0,497.805299955,0,0.5,0.5,Gain  ,Gain  ,0.5,0.497805299955,1,0
0,340.766915627,0,0.5,0.5,Gain  ,Gain  ,0.5,0.340766915627,1,1
0,283.794019563,0,0.5,0.5,Gain  ,Gain  ,0.5,0.283794019563,1,1
0,275.184549794,0,0.5,0.5,Gain  ,Gain  ,0.5,0.275184549794,1,1
0,258.521954271,0,0.5,0.5,Gain  ,Gain  ,0.5,0.258521954271,1,1
0,368.30134451,0,0.5,0.5,Gain  ,Gain  ,0.5,0.36830134451,1,1
0,258.365988267,0,0.5,0.5,Gain  ,Gain  ,0.5,0.258365988267,1,1
0,297.748162517,0,0.5,0.5,Gain  ,Gain  ,0.5,0.297748162517,1,1
0,336.677803458,0,0.5,0.5,Gain  ,Gain  ,0.5,0.336677803458,1,1
0,319.611621588,0,0.5,0.5,Gain  ,Gain  ,0.5,0.319611621588,1,1
0,418.363536164,0,0.5,0.5,Gain  ,Gain  ,0.5,0.418363536164,1,0
0,236.502116048,0,0.5,0.5,Gain  ,Gain  ,0.5,0.236502116048,1,1
0,331.047895231,0,0.5,0.5,Gain  ,Gain  ,0.5,0.331047895231,1,1
0,369.003987129,0,0.5,0.5,Gain  ,Gain  ,0.5,0.369003987129,1,1
0,382.04399126,0,0.5,0.5,Gain  ,Gain  ,0.5,0.38204399126,1,1
0,316.041008126,0,0.5,0.5,Gain  ,Gain  ,0.5,0.316041008126,1,1
0,360.353406014,0,0.5,0.5,Gain  ,Gain  ,0.5,0.360353406014,1,1
0,490.03055817,0,0.5,0.5,Gain  ,Gain  ,0.5,0.49003055817,1,0
0,319.106071869,0,0.5,0.5,Gain  ,Gain  ,0.5,0.319106071869,1,1
0,260.391294509,0,0.5,0.5,Gain  ,Gain  ,0.5,0.260391294509,1,1
0,284.121104258,0,0.5,0.5,Gain  ,Gain  ,0.5,0.284121104258,1,1
0,278.58445808,0,0.5,0.5,Gain  ,Gain  ,0.5,0.27858445808,1,1
0,307.704340637,0,0.5,0.5,Gain  ,Gain  ,0.5,0.307704340637,1,1
0,238.384477241,0,0.5,0.5,Gain  ,Gain  ,0.5,0.238384477241,1,1
0,293.292212631,0,0.5,0.5,Gain  ,Gain  ,0.5,0.293292212631,1,1
0,490.510643154,0,0.5,0.5,Gain  ,Gain  ,0.5,0.490510643154,1,0
0,461.08151374,0,0.5,0.5,Gain  ,Gain  ,0.5,0.46108151374,1,0
0,404.299119613,0,0.5,0.5,Gain  ,Gain  ,0.5,0.404299119613,1,0
0,306.697451854,0,0.5,0.5,Gain  ,Gain  ,0.5,0.306697451854,1,1
0,468.12485484,0,0.5,0.5,Gain  ,Gain  ,0.5,0.46812485484,1,0
0,250.314721319,0,0.5,0.5,Gain  ,Gain  ,0.5,0.250314721319,1,1
0,381.44160034,0,0.5,0.5,Gain  ,Gain  ,0.5,0.38144160034,1,1
0,364.927223153,0,0.5,0.5,Gain  ,Gain  ,0.5,0.364927223153,1,1
0,377.517995957,0,0.5,0.5,Gain  ,Gain  ,0.5,0.377517995957,1,1
0,416.830351368,0,0.5,0.5,Gain  ,Gain  ,0.5,0.416830351368,1,0
0,252.980828051,0,0.5,0.5,Gain  ,Gain  ,0.5,0.252980828051,1,1
0,241.35354143,0,0.5,0.5,Gain  ,Gain  ,0.5,0.24135354143,1,1
0,310.476676122,0,0.5,0.5,Gain  ,Gain  ,0.5,0.310476676122,1,1
0,285.54693816,0,0.5,0.5,Gain  ,Gain  ,0.5,0.28554693816,1,1
0,294.690549863,0,0.5,0.5,Gain  ,Gain  ,0.5,0.294690549863,1,1
0,406.953657282,0,0.5,0.5,Gain  ,Gain  ,0.5,0.406953657282,1,0
0,393.785293719,0,0.5,0.5,Gain  ,Gain  ,0.5,0.393785293719,1,1
0,294.604584488,0,0.5,0.5,Gain  ,Gain  ,0.5,0.294604584488,1,1
0,348.97606375,0,0.5,0.5,Gain  ,Gain  ,0.5,0.34897606375,1,1
0,390.577345544,0,0.5,0.5,Gain  ,Gain  ,0.5,0.390577345544,1,1
0,329.312270583,0,0.5,0.5,Gain  ,Gain  ,0.5,0.329312270583,1,1
0,484.199305703,0,0.5,0.5,Gain  ,Gain  ,0.5,0.484199305703,1,0
0,301.742110204,0,0.5,0.5,Gain  ,Gain  ,0.5,0.301742110204,1,1
0,323.903615295,0,0.5,0.5,Gain  ,Gain  ,0.5,0.323903615295,1,1
0,281.443790731,0,0.5,0.5,Gain  ,Gain  ,0.5,0.281443790731,1,1
0,339.353495875,0,0.5,0.5,Gain  ,Gain  ,0.5,0.339353495875,1,1
0,304.799206155,0,0.5,0.5,Gain  ,Gain  ,0.5,0.304799206155,1,1
0,401.690740983,0,0.5,0.5,Gain  ,Gain  ,0.5,0.401690740983,1,0
0,304.780747358,0,0.5,0.5,Gain  ,Gain  ,0.5,0.304780747358,1,1
0,331.47505681,0,0.5,0.5,Gain  ,Gain  ,0.5,0.33147505681,1,1
0,351.812250047,0,0.5,0.5,Gain  ,Gain  ,0.5,0.351812250047,1,1
0,419.990770714,0,0.5,0.5,Gain  ,Gain  ,0.5,0.419990770714,1,0
0,317.771908782,0,0.5,0.5,Gain  ,Gain  ,0.5,0.317771908782,1,1
0,225.626139979,0,0.5,0.5,Gain  ,Gain  ,0.5,0.225626139979,1,1
0,425.149377778,0,0.5,0.5,Gain  ,Gain  ,0.5,0.425149377778,1,0
0,272.267256786,0,0.5,0.5,Gain  ,Gain  ,0.5,0.272267256786,1,1
0,280.700260886,0,0.5,0.5,Gain  ,Gain  ,0.5,0.280700260886,1,1
0,369.516472391,0,0.5,0.5,Gain  ,Gain  ,0.5,0.369516472391,1,1
0,457.912237778,0,0.5,0.5,Gain  ,Gain  ,0.5,0.457912237778,1,0
0,353.004218705,0,0.5,0.5,Gain  ,Gain  ,0.5,0.353004218705,1,1
0,282.05715311,0,0.5,0.5,Gain  ,Gain  ,0.5,0.28205715311,1,1
0,321.005464325,0,0.5,0.5,Gain  ,Gain  ,0.5,0.321005464325,1,1
0,306.951048275,0,0.5,0.5,Gain  ,Gain  ,0.5,0.306951048275,1,1
0,265.235365918,0,0.5,0.5,Gain  ,Gain  ,0.5,0.265235365918,1,1
0,398.209663215,0,0.5,0.5,Gain  ,Gain  ,0.5,0.398209663215,1,1
0,340.67218144,0,0.5,0.5,Gain  ,Gain  ,0.5,0.34067218144,1,1
0,406.94531201,0,0.5,0.5,Gain  ,Gain  ,0.5,0.40694531201,1,0
0,344.230253311,0,0.5,0.5,Gain  ,Gain  ,0.5,0.344230253311,1,1
0,279.723251745,0,0.5,0.5,Gain  ,Gain  ,0.5,0.279723251745,1,1
0,408.108545121,0,0.5,0.5,Gain  ,Gain  ,0.5,0.408108545121,1,0
0,226.49804742,0,0.5,0.5,Gain  ,Gain  ,0.5,0.22649804742,1,1
0,263.76228596,0,0.5,0.5,Gain  ,Gain  ,0.5,0.26376228596,1,1
0,387.488877698,0,0.5,0.5,Gain  ,Gain  ,0.5,0.387488877698,1,1
0,267.971792107,0,0.5,0.5,Gain  ,Gain  ,0.5,0.267971792107,1,1
0,302.969860109,0,0.5,0.5,Gain  ,Gain  ,0.5,0.302969860109,1,1
0,305.696828864,0,0.5,0.5,Gain  ,Gain  ,0.5,0.305696828864,1,1
0,288.875828548,0,0.5,0.5,Gain  ,Gain  ,0.5,0.288875828548,1,1
0,366.78180573,0,0.5,0.5,Gain  ,Gain  ,0.5,0.36678180573,1,1
0,384.073578275,0,0.5,0.5,Gain  ,Gain  ,0.5,0.384073578275,1,1
0,336.396149219,0,0.5,0.5,Gain  ,Gain  ,0.5,0.336396149219,1,1
0,287.389989646,0,0.5,0.5,Gain  ,Gain  ,0.5,0.287389989646,1,1
0,359.919616021,0,0.5,0.5,Gain  ,Gain  ,0.5,0.359919616021,1,1
0,353.1259587,0,0.5,0.5,Gain  ,Gain  ,0.5,0.3531259587,1,1
0,396.478164428,0,0.5,0.5,Gain  ,Gain  ,0.5,0.396478164428,1,1
0,320.590826702,0,0.5,0.5,Gain  ,Gain  ,0.5,0.320590826702,1,1
0,371.37637612,0,0.5,0.5,Gain  ,Gain  ,0.5,0.37137637612,1,1
0,347.145095345,0,0.5,0.5,Gain  ,Gain  ,0.5,0.347145095345,1,1
0,456.865813147,0,0.5,0.5,Gain  ,Gain  ,0.5,0.456865813147,1,0
0,371.23414558,0,0.5,0.5,Gain  ,Gain  ,0.5,0.37123414558,1,1
0,301.530685947,0,0.5,0.5,Gain  ,Gain  ,0.5,0.301530685947,1,1
0,291.220411509,0,0.5,0.5,Gain  ,Gain  ,0.5,0.291220411509,1,1
0,286.355695677,0,0.5,0.5,Gain  ,Gain  ,0.5,0.286355695677,1,1
0,245.222028955,0,0.5,0.5,Gain  ,Gain  ,0.5,0.245222028955,1,1
0,285.486929144,0,0.5,0.5,Gain  ,Gain  ,0.5,0.285486929144,1,1
0,389.031338674,0,0.5,0.5,Gain  ,Gain  ,0.5,0.389031338674,1,1
