subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
1011,156,214,1,1,0,1,1,NoLoss,NoLoss,1,0.214
1011,158,369,1,1,0,1,1,Gain  ,Gain  ,1,0.369
1011,160,192,1,1,0,1,1,Cntrl ,Cntrl ,1,0.192
1011,162,45,1,1,0,1,1,NoLoss,NoLoss,1,0.045
1011,164,233,1,1,0,1,1,Gain  ,Gain  ,1,0.233
1011,166,171,1,1,0,1,1,Cntrl ,Cntrl ,1,0.171
1011,168,356,1,1,0,1,1,Gain  ,Gain  ,1,0.356
1011,170,468,1,1,0,1,0,Gain  ,Gain  ,1,0.468
1011,172,279,1,1,0,1,1,Cntrl ,Cntrl ,1,0.279
1011,174,0,1,1,0,0,0,Gain  ,NA   ,1,0
1011,176,0,1,1,0,0,0,Cntrl ,NA   ,1,0
1011,178,297,1,1,0,1,1,NoLoss,NoLoss,1,0.297
1011,180,235,1,1,0,1,1,Gain  ,Gain  ,1,0.235
2011,2,381,1,1,0,1,1,NoLoss,NoLoss,1,0.381
2011,4,379,1,1,0,1,1,NoLoss,NoLoss,1,0.379
2011,6,398,1,1,0,1,1,Gain  ,Gain  ,1,0.398
2011,8,350,1,1,0,0,0,NoLoss,Cntrl ,1,0.35
2011,10,327,1,1,0,1,1,Cntrl ,Cntrl ,1,0.327
2011,12,356,1,1,0,1,1,NoLoss,NoLoss,1,0.356
2011,14,341,1,1,0,1,1,Cntrl ,Cntrl ,1,0.341
2011,16,481,1,1,0,1,0,Gain  ,Gain  ,1,0.481
2011,18,354,1,1,0,1,1,NoLoss,NoLoss,1,0.354
2011,20,415,1,1,0,1,0,NoLoss,NoLoss,1,0.415
2011,22,407,1,1,0,1,0,NoLoss,NoLoss,1,0.407
2011,24,438,1,1,0,1,0,Gain  ,Gain  ,1,0.438
2011,26,0,1,1,0,0,0,Gain  ,NA   ,1,0
2011,28,0,1,1,0,0,0,Gain  ,NA   ,1,0
2011,30,379,1,1,0,1,1,Cntrl ,Cntrl ,1,0.379
2011,32,359,1,1,0,1,1,NoLoss,NoLoss,1,0.359
2011,34,416,1,1,0,1,0,NoLoss,NoLoss,1,0.416
2011,36,380,1,1,0,1,1,Cntrl ,Cntrl ,1,0.38
2011,38,331,1,1,0,1,1,Gain  ,Gain  ,1,0.331
2011,40,296,1,1,0,1,1,NoLoss,NoLoss,1,0.296
2011,42,329,1,1,0,0,0,Cntrl ,NoLoss,1,0.329
2011,44,466,1,1,0,1,0,Gain  ,Gain  ,1,0.466
2011,46,378,1,1,0,1,1,NoLoss,NoLoss,1,0.378
2011,48,363,1,1,0,1,1,Cntrl ,Cntrl ,1,0.363
2011,50,372,1,1,0,0,0,NoLoss,Gain  ,1,0.372
2011,52,332,1,1,0,1,1,Gain  ,Gain  ,1,0.332
2011,54,368,1,1,0,1,1,Cntrl ,Cntrl ,1,0.368
2011,56,454,1,1,0,1,0,Cntrl ,Cntrl ,1,0.454
2011,58,0,1,1,0,0,0,Cntrl ,NA   ,1,0
2011,60,297,1,1,0,1,1,Gain  ,Gain  ,1,0.297
2011,62,311,1,1,0,1,1,Gain  ,Gain  ,1,0.311
2011,64,0,1,1,0,0,0,Gain  ,NA   ,1,0
2011,66,290,1,1,0,1,1,NoLoss,NoLoss,1,0.29
2011,68,456,1,1,0,1,0,NoLoss,NoLoss,1,0.456
2011,70,264,1,1,0,1,1,Cntrl ,Cntrl ,1,0.264
2011,72,275,1,1,0,1,1,Gain  ,Gain  ,1,0.275
